"","unique.cellid","CGP.cellid","CCLE.cellid","GSK.cellid","NCI60.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","NCI60.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Ben_Neel.tissueid","COSMIC.tissueid","unique.tissueid","CTRPv2.tissueid"
"1","22RV1","22RV1","22Rv1","22RV1","","","","","22RV1","22Rv1","22RV1","","22RV1","prostate","prostate","prostate","","","","","prostate","prostate","urogenital_system ","","prostate","prostate","prostate"
"2","23132-87","23132-87","23132/87","","","","","","23132-87","23132_87","23132-87","","2313287","stomach","stomach","","","","","","Stomach","stomach","digestive_system ","","stomach","stomach","stomach"
"3","380","380","","","","","","","","","","",NA,"haematopoietic_and_lymphoid_tissue","","","","","","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"4","5637","5637","5637","5637","","","","5637","5637","5637","","","5637","urinary_tract","urinary_tract","bladder","","","","URINARY_TRACT","Bladder","urinary_tract","","","urinary_tract","urinary_tract","urinary_tract"
"5","639-V","639-V","639-V","639V","","","","","639-V","639-V","639-V","","639V","urinary_tract","urinary_tract","bladder","","","","","Bladder","urinary_tract","urogenital_system ","","urinary_tract","urinary_tract","urinary_tract"
"6","647-V","647-V","647-V","647V","","","","","647-V","647-V","647-V","","647V","urinary_tract","urinary_tract","bladder","","","","","Bladder","urinary_tract","urogenital_system ","","urinary_tract","urinary_tract","urinary_tract"
"7","697","697","697","","","","","","697","697","697","","697","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"8","769-P","769-P","769-P","769P","","","769-P","","769-P","769-P","769-P","","769P","kidney","kidney","kidney","","","Kidney","","Kidney","kidney","kidney ","","kidney","kidney","kidney"
"9","786-0","786-0","786-O","786O","RE:786_0","","786-O","","786-o","786-O","","","786O","kidney","kidney","kidney","RE","","Kidney","","Kidney","kidney","","","kidney","kidney","kidney"
"10","8305C","8305C","8305C","","","","","","8305C","8305C","8305C","","8305C","thyroid","thyroid","","","","","","Thyroid","thyroid","thyroid ","","thyroid","thyroid","thyroid"
"11","8505C","8505C","8505C","","","","","","8505C","8505C","8505C","","8505C","thyroid","thyroid","","","","","","thyroid","thyroid","thyroid ","","thyroid","thyroid","thyroid"
